,date,province,total,admitted,deaths
0,2020-03-13,Drenthe,14,0,0
1,2020-03-13,Flevoland,7,3,0
2,2020-03-13,Friesland,8,2,0
3,2020-03-13,Gelderland,64,9,0
4,2020-03-13,Groningen,4,1,0
5,2020-03-13,Limburg,71,17,3
6,2020-03-13,Noord-Brabant,377,65,5
7,2020-03-13,Noord-Holland,66,4,0
8,2020-03-13,Overijssel,18,0,0
9,2020-03-13,Utrecht,83,7,0
10,2020-03-13,Zeeland,9,0,0
11,2020-03-13,Zuid-Holland,83,7,1
12,2020-03-14,Drenthe,16,0,0
13,2020-03-14,Flevoland,14,3,0
14,2020-03-14,Friesland,9,2,0
15,2020-03-14,Gelderland,77,14,1
16,2020-03-14,Groningen,5,1,0
17,2020-03-14,Limburg,106,20,3
18,2020-03-14,Noord-Brabant,424,73,6
19,2020-03-14,Noord-Holland,89,5,0
20,2020-03-14,Overijssel,24,2,1
21,2020-03-14,Utrecht,88,7,0
22,2020-03-14,Zeeland,10,1,0
23,2020-03-14,Zuid-Holland,97,8,1
24,2020-03-15,Drenthe,16,0,0
25,2020-03-15,Flevoland,21,3,0
26,2020-03-15,Friesland,11,2,0
27,2020-03-15,Gelderland,101,18,1
28,2020-03-15,Groningen,10,2,0
29,2020-03-15,Limburg,131,27,4
30,2020-03-15,Noord-Brabant,477,79,13
31,2020-03-15,Noord-Holland,101,6,0
32,2020-03-15,Overijssel,29,2,0
33,2020-03-15,Utrecht,111,9,0
34,2020-03-15,Zeeland,12,2,0
35,2020-03-15,Zuid-Holland,115,12,1
36,2020-03-16,Drenthe,17,1,0
37,2020-03-16,Flevoland,23,5,0
38,2020-03-16,Friesland,14,3,0
39,2020-03-16,Gelderland,136,28,1
40,2020-03-16,Groningen,11,2,0
41,2020-03-16,Limburg,153,33,5
42,2020-03-16,Noord-Brabant,589,88,16
43,2020-03-16,Noord-Holland,129,6,0
44,2020-03-16,Overijssel,37,3,0
45,2020-03-16,Utrecht,142,13,0
46,2020-03-16,Zeeland,17,7,0
47,2020-03-16,Zuid-Holland,145,16,1
48,2020-03-17,Drenthe,19,1,0
49,2020-03-17,Flevoland,25,6,0
50,2020-03-17,Friesland,15,3,0
51,2020-03-17,Gelderland,176,38,1
52,2020-03-17,Groningen,11,2,0
53,2020-03-17,Limburg,203,49,10
54,2020-03-17,Noord-Brabant,662,133,27
55,2020-03-17,Noord-Holland,166,21,1
56,2020-03-17,Overijssel,46,7,0
