,R_min,R_avg,R_high,version,date
0,0.5,1.93,4.0,1,2020-02-17
1,0.0,1.74,4.0,1,2020-02-18
2,0.5,1.59,2.83,1,2020-02-19
3,0.83,1.74,2.83,1,2020-02-20
4,0.67,2.03,3.67,1,2020-02-21
5,0.0,2.17,5.0,1,2020-02-22
6,1.17,2.18,3.33,1,2020-02-23
7,1.31,2.2,3.22,1,2020-02-24
8,1.25,2.15,3.22,1,2020-02-25
9,1.33,2.06,2.86,1,2020-02-26
10,1.48,2.06,2.69,1,2020-02-27
11,1.5,2.1,2.75,1,2020-02-28
12,1.37,1.99,2.67,1,2020-02-29
13,1.44,1.83,2.25,1,2020-03-01
14,1.45,1.79,2.13,1,2020-03-02
15,1.44,1.82,2.21,1,2020-03-03
16,1.5,1.84,2.2,1,2020-03-04
17,1.56,1.86,2.17,1,2020-03-05
18,1.63,1.89,2.16,1,2020-03-06
19,1.65,1.9,2.15,1,2020-03-07
20,1.56,1.8,2.06,1,2020-03-08
21,1.5,1.67,1.84,1,2020-03-09
22,1.39,1.55,1.72,1,2020-03-10
23,1.3,1.43,1.58,1,2020-03-11
24,1.2,1.33,1.46,1,2020-03-12
25,1.14,1.25,1.36,1,2020-03-13
26,1.05,1.16,1.27,1,2020-03-14
27,0.94,1.04,1.15,1,2020-03-15
28,0.88,0.96,1.04,1,2020-03-16
29,0.83,0.92,1.01,1,2020-03-17
30,0.8,0.88,0.97,1,2020-03-18
31,0.75,0.84,0.93,1,2020-03-19
32,0.73,0.81,0.89,1,2020-03-20
33,0.7,0.79,0.87,1,2020-03-21
34,0.65,0.75,0.84,1,2020-03-22
35,0.65,0.72,0.79,1,2020-03-23
36,0.62,0.71,0.8,1,2020-03-24
37,0.63,0.71,0.8,1,2020-03-25
38,0.63,0.72,0.82,1,2020-03-26
39,0.65,0.74,0.84,1,2020-03-27
40,0.65,0.76,0.87,1,2020-03-28
41,0.65,0.76,0.88,1,2020-03-29
42,0.64,0.75,0.86,1,2020-03-30
43,0.59,0.71,0.84,1,2020-03-31
44,0.59,0.69,0.79,1,2020-04-01
45,0.58,0.69,0.81,1,2020-04-02
46,0.59,0.72,0.85,1,2020-04-03
47,0.61,0.75,0.9,1,2020-04-04
48,0.62,0.77,0.93,1,2020-04-05
49,0.65,0.79,0.95,1,2020-04-06
50,0.65,0.81,0.97,1,2020-04-07
